Title,Note,URL,Comment
세화해수욕장,Maybe?,https://www.google.com/maps/place/%EC%84%B8%ED%99%94%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5/data=!4m2!3m1!1s0x350d1673dccae257:0xd11e69c8378d970b,
오구삼구민물장어아구찜,Eel soup,https://www.google.com/maps/place/%EC%98%A4%EA%B5%AC%EC%82%BC%EA%B5%AC%EB%AF%BC%EB%AC%BC%EC%9E%A5%EC%96%B4%EC%95%84%EA%B5%AC%EC%B0%9C/data=!4m2!3m1!1s0x350da9dd23c04fd5:0x127db3b33dda8f34,
Cenote Taak Bi Ha,,https://www.google.com/maps/place/Cenote+Taak+Bi+Ha/data=!4m2!3m1!1s0x8f4e2d45a2db6455:0xb4302d27ff215e34,
제주본가,Budaejjigae,https://www.google.com/maps/place/%EC%A0%9C%EC%A3%BC%EB%B3%B8%EA%B0%80/data=!4m2!3m1!1s0x357ca2ededbe3639:0x66183de3a498cc6,
Kyochon Chicken Seoul City Hall Branch,,https://www.google.com/maps/place/Kyochon+Chicken+Seoul+City+Hall+Branch/data=!4m2!3m1!1s0x357ca3daf58b7f45:0x1d70916ae1405640,
진주집(Jinjujip),Bibimguksu,https://www.google.com/maps/place/%EC%A7%84%EC%A3%BC%EC%A7%91(Jinjujip)/data=!4m2!3m1!1s0x357ca2f4e1a29c8b:0xaee46d96f7425dc3,
Ahyeon-dong Ganjang Gejang 阿岘洞酱油蟹,ganjang gejang,https://www.google.com/maps/place/Ahyeon-dong+Ganjang+Gejang+%E9%98%BF%E5%B2%98%E6%B4%9E%E9%85%B1%E6%B2%B9%E8%9F%B9/data=!4m2!3m1!1s0x357ca2779451a115:0x8b1bd5a749181eba,
봉순게장,Ganjang Gejang,https://www.google.com/maps/place/%EB%B4%89%EC%88%9C%EA%B2%8C%EC%9E%A5/data=!4m2!3m1!1s0x357c9d6346b8ae6f:0x1bb3776bc9fc79d6,
SinDang-Dong Tteokbokki,,https://www.google.com/maps/place/SinDang-Dong+Tteokbokki/data=!4m2!3m1!1s0x31705d8836167561:0x25f07dc67e34255d,
Nongmin Baekam King Sundae,Soondaeguk / korean style sausage soup,https://www.google.com/maps/place/Nongmin+Baekam+King+Sundae/data=!4m2!3m1!1s0x357ca1c7ea19b239:0x938dc5f136b2e9fe,
청진옥 (Cheongjinok),haejangguk hangover soup,https://www.google.com/maps/place/%EC%B2%AD%EC%A7%84%EC%98%A5+(Cheongjinok)/data=!4m2!3m1!1s0x357ca2ebf30bf9c9:0x2a6d88e8b67d341a,
Carlucci Rosemont,,https://www.google.com/maps/place/Carlucci+Rosemont/data=!4m2!3m1!1s0x880fb603135d83b9:0xea060317c6c072,
Meerkat Friends,Sad. Just walk by to see do not enter,https://www.google.com/maps/place/Meerkat+Friends/data=!4m2!3m1!1s0x357c98c527935143:0x136518d609202732,
Cenote Azul,,https://www.google.com/maps/place/Cenote+Azul/data=!4m2!3m1!1s0x8f4e378557ad043b:0x5ed7a89d947d63aa,
Jardin del Eden Cenotes,,https://www.google.com/maps/place/Jardin+del+Eden+Cenotes/data=!4m2!3m1!1s0x8f4e3783a9aecb25:0xbbaa6ca35b94d4ef,
Laguna de Kaan Luum,,https://www.google.com/maps/place/Laguna+de+Kaan+Luum/data=!4m2!3m1!1s0x8f502833c5213481:0xc91e684b8f07d9e8,
Cenote Escondido (Mayan Blue),,https://www.google.com/maps/place/Cenote+Escondido+(Mayan+Blue)/data=!4m2!3m1!1s0x8f4fd66034107aef:0x69c0fbed2403f2b1,
Cenote Cristalino,,https://www.google.com/maps/place/Cenote+Cristalino/data=!4m2!3m1!1s0x8f4e378faf532a13:0x54af4dd94936da4a,
Waiʻānapanapa State Park,,https://www.google.com/maps/place/Wai%CA%BB%C4%81napanapa+State+Park/data=!4m2!3m1!1s0x7954ac52bd0b2d53:0x233079fa168faa55,
Hanboknam Gyeongbokgung Hanbok Rental,Hanbok rental,https://www.google.com/maps/place/Hanboknam+Gyeongbokgung+Hanbok+Rental/data=!4m2!3m1!1s0x357ca2c43c224b73:0xac20376d82aef96,
133-5 Sajik-ro,Hanbok rental,https://www.google.com/maps/place/133-5+Sajik-ro/data=!4m2!3m1!1s0x357ca2950cb03ca3:0xc595ee0ed6756e3f,
Choryang Milmyeon,Authentic dining experience,https://www.google.com/maps/place/Choryang+Milmyeon/data=!4m2!3m1!1s0x3568ebd831a8b0af:0x41708c74bafd892,
Samjin Amook Main Branch,"Fish cakes
",https://www.google.com/maps/place/Samjin+Amook+Main+Branch/data=!4m2!3m1!1s0x3568e913ae1d7e65:0xe62ea3e9e4efdc1e,
감지해변,Clam tent?,https://www.google.com/maps/place/%EA%B0%90%EC%A7%80%ED%95%B4%EB%B3%80/data=!4m2!3m1!1s0x3568ef2947e1af37:0x193673d35f106b4a,
Haeundae Market,Food,https://www.google.com/maps/place/Haeundae+Market/data=!4m2!3m1!1s0x35688d5dafde7909:0xd5f6d2ed3ddb31bd,
Shinsegae Centumcity Mall,world’s largest department store,https://www.google.com/maps/place/Shinsegae+Centumcity+Mall/data=!4m2!3m1!1s0x356893b3c5dab6c3:0xf77c5a05daa8b505,
Anga,Late night bbq,https://www.google.com/maps/place/Anga/data=!4m2!3m1!1s0x35688d6ea34f07eb:0xdfe3007fe84f1606,
Papaseu,Cocktail?,https://www.google.com/maps/place/Papaseu/data=!4m2!3m1!1s0x35688de4f78853e1:0x69b0fbe7a023899e,
Songjeong 3 dae Gukbap,Dwaeji gukbap pork rice soup,https://www.google.com/maps/place/Songjeong+3+dae+Gukbap/data=!4m2!3m1!1s0x3568eb6fd0fbf783:0xe7a22678687305a5,
Gukje Market,Food! Local,https://www.google.com/maps/place/Gukje+Market/data=!4m2!3m1!1s0x356893547acc827d:0xf0d4564e7e915016,
Yongho-dong halmae patbingsu,"shop sells simple, traditional (and cheap!) patbingsu",https://www.google.com/maps/place/Yongho-dong+halmae+patbingsu/data=!4m2!3m1!1s0x356892da8f2bd25f:0xdef07283dd7c4366,
Bosung Green Tea,"traditional-style patbingsu at an unbeatable price – a one-person serving is 2,500 won (approx. US $2.22)",https://www.google.com/maps/place/Bosung+Green+Tea/data=!4m2!3m1!1s0x3568ece3e3ced9f3:0xb7aa57397a3fadc1,
Homeplus Andong,Store with everything!!,https://www.google.com/maps/place/Homeplus+Andong/data=!4m2!3m1!1s0x3566a150ee6535e1:0x63af9fa29a143300,
Andong imcheonggak,,https://www.google.com/maps/place/Andong+imcheonggak/data=!4m2!3m1!1s0x3566a3fe67a87411:0x26bc90cde90668e6,
Big Momma's Soul Kitchen,,https://www.google.com/maps/place/Big+Momma's+Soul+Kitchen/data=!4m2!3m1!1s0x88696cb62e0fb023:0xa1fa1eeb757c4b09,
Woryeonggyo Bridge,,https://www.google.com/maps/place/Woryeonggyo+Bridge/data=!4m2!3m1!1s0x3566a46aa237a469:0x683ae9d630f0baaa,
Vibes Kitchen & Bar,,https://www.google.com/maps/place/Vibes+Kitchen+%26+Bar/data=!4m2!3m1!1s0x87ee9998f733ddc9:0xa308459c8b9e2af6,
Hwanho Park Space Walk,,https://www.google.com/maps/place/Hwanho+Park+Space+Walk/data=!4m2!3m1!1s0x356703d98a6e96a1:0xdc74ccb479f603ad,
프릭업 스튜디오,GSL,https://www.google.com/maps/place/%ED%94%84%EB%A6%AD%EC%97%85+%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4/data=!4m2!3m1!1s0x357ca4412e47b41d:0x2d37400d29ef1b15,
626 Teheran-ro,GSL,https://www.google.com/maps/place/626+Teheran-ro/data=!4m2!3m1!1s0x357ca4412e4fb243:0x29a08fee1fd6c732,
Com Tam Kieu (Cơm Tấm Kiều),,https://www.google.com/maps/place/Com+Tam+Kieu+(C%C6%A1m+T%E1%BA%A5m+Ki%E1%BB%81u)/data=!4m2!3m1!1s0x80c2da96e9e6c0eb:0xf9de7d3eeead8c1d,
Chao Vietnamese Street Food,,https://www.google.com/maps/place/Chao+Vietnamese+Street+Food/data=!4m2!3m1!1s0x8814b3471c4f803b:0xb80f072cb9c4fc68,
Yuan's Hotpot Los Angeles,,https://www.google.com/maps/place/Yuan's+Hotpot+Los+Angeles/data=!4m2!3m1!1s0x80c2dbd45465a7ef:0x3e420cc7e898c864,
Simply Mediterranean,,https://www.google.com/maps/place/Simply+Mediterranean/data=!4m2!3m1!1s0x886973a78fcdda9b:0xa512d36c6956517,
Mulberry Street Tavern,,https://www.google.com/maps/place/Mulberry+Street+Tavern/data=!4m2!3m1!1s0x87ee9901cb955555:0xc5f04cc59c84ebaf,
Pyra Pizzeria,,https://www.google.com/maps/place/Pyra+Pizzeria/data=!4m2!3m1!1s0x87eea169f656d141:0x1a6b978820e3c62a,
Luigi's Pizzeria,,https://www.google.com/maps/place/Luigi's+Pizzeria/data=!4m2!3m1!1s0x886972a14321f9cd:0xb8219f8f9e796c96,
Marathon Gas,Taco truck open 6 pm daily,https://www.google.com/maps/place/Marathon+Gas/data=!4m2!3m1!1s0x8841971f100d5461:0x4aeff0ffead71431,
TANDOORI FUSION - INDIAN RESTAURANT,,https://www.google.com/maps/place/TANDOORI+FUSION+-+INDIAN+RESTAURANT/data=!4m2!3m1!1s0x88699e7d0e1c9f73:0xf22cfe53c9d61c89,
Richard's Victoria,Large lobster roll,https://www.google.com/maps/place/Richard's+Victoria/data=!4m2!3m1!1s0x4b5fa779ca3416a3:0xfe1f652fa7849a07,
Resch's Bakery,,https://www.google.com/maps/place/Resch's+Bakery/data=!4m2!3m1!1s0x883862bfa9f99b47:0xd4806d1af041e901,
Seattle Best Tea,Durian ice cream,https://www.google.com/maps/place/Seattle+Best+Tea/data=!4m2!3m1!1s0x54906abc9a845883:0x65b4fe62faa0adc1,
Bash Original Izakaya,Izakaya,https://www.google.com/maps/place/Bash+Original+Izakaya/data=!4m2!3m1!1s0x8824cdcb546fe701:0x3462859c785c7d0b,
South Seas,,https://www.google.com/maps/place/South+Seas/data=!4m2!3m1!1s0x8869731247d68d85:0x6a435a02faa0f5a2,
Liquor Palace 5,Taco truck!,https://www.google.com/maps/place/Liquor+Palace+5/data=!4m2!3m1!1s0x88690c3dc1da99db:0x445647c52f99e749,
Jin BBQ,,https://www.google.com/maps/place/Jin+BBQ/data=!4m2!3m1!1s0x872b097ad4554249:0x82c08bbabfef0b3,
Global Restaurant,,https://www.google.com/maps/place/Global+Restaurant/data=!4m2!3m1!1s0x886972aa250b7d5d:0xb0fda8955b799fad,
Uncle Miltie's Pawn Shop,Random food truck popular ,https://www.google.com/maps/place/Uncle+Miltie's+Pawn+Shop/data=!4m2!3m1!1s0x88690d7fae3cac33:0xf1ad5dbd2096d90f,
2nd Chance Liquidation,,https://www.google.com/maps/place/2nd+Chance+Liquidation/data=!4m2!3m1!1s0x87ec21f7abbc0f0b:0xa5c51cfe5bcdfd9c,
Marfreless,Call for reservation,https://www.google.com/maps/place/Marfreless/data=!4m2!3m1!1s0x8640c0bc3e4c0007:0x4380221e046ed276,
HandleBar,Go past women's restroom speakeasy,https://www.google.com/maps/place/HandleBar/data=!4m2!3m1!1s0x8640c0b54f8ad79d:0x1a928977d85183da,
Tsukiji Kagura Sushi,Omakase,https://www.google.com/maps/place/Tsukiji+Kagura+Sushi/data=!4m2!3m1!1s0x60188bd912580d23:0x45e7325bde29c66f,
Galveston Historic Seaport - Home of the 1877 Tall Ship ELISSA,,https://www.google.com/maps/place/Galveston+Historic+Seaport+-+Home+of+the+1877+Tall+Ship+ELISSA/data=!4m2!3m1!1s0x863f9e14d510b681:0x680a800a261da164,
